,Rewards,Score,Episode_Length
1248,171,17,182
1249,491,49,502
1250,1,0,12
1251,24,3,35
1252,4,1,15
1253,321,32,332
1254,91,9,102
1255,181,18,192
1256,341,34,352
1257,561,56,572
1258,40,4,51
1259,1,0,12
1260,11,1,22
1261,41,4,52
1262,211,21,222
1263,61,6,72
1264,61,6,72
1265,72,7,83
1266,117,12,128
1267,101,10,112
1268,201,20,212
1269,33,4,44
1270,206,21,217
1271,68,7,79
1272,527,53,538
1273,481,48,492
1274,0,0,11
1275,211,21,222
1276,1,0,12
1277,251,25,262
1278,731,73,742
1279,150,15,161
1280,801,80,812
1281,41,4,52
1282,81,8,92
1283,271,27,282
1284,91,9,102
1285,151,15,162
1286,361,36,372
1287,1,0,12
1288,152,15,163
1289,304,31,315
1290,191,19,202
1291,191,19,202
1292,121,12,132
1293,18,2,29
1294,131,13,142
1295,131,13,142
1296,391,39,402
1297,12,1,23
1298,32,3,43
1299,91,9,102
1300,71,7,82
1301,51,5,62
1302,171,17,182
1303,533,54,544
1304,181,18,192
1305,321,32,332
1306,451,45,462
1307,151,15,162
1308,21,2,32
1309,11,1,22
1310,61,6,72
1311,427,43,438
1312,554,56,565
1313,72,7,83
1314,211,21,222
1315,321,32,332
1316,1,0,12
1317,11,1,22
1318,34,4,45
1319,107,11,118
1320,1,0,12
1321,3,1,14
1322,113,12,124
1323,41,4,52
1324,331,33,342
1325,161,16,172
1326,27,3,38
1327,301,30,312
1328,122,12,133
1329,161,16,172
1330,87,9,98
1331,32,3,43
1332,190,19,201
1333,231,23,242
1334,101,10,112
1335,7,1,18
1336,281,28,292
1337,191,19,202
1338,231,23,242
1339,141,14,152
1340,11,1,22
1341,21,2,32
1342,291,29,302
1343,162,16,173
1344,291,29,302
1345,196,20,207
1346,662,66,673
1347,211,21,222
1348,111,11,122
1349,241,24,252
1350,181,18,192
1351,121,12,132
1352,110,11,121
1353,141,14,152
1354,181,18,192
1355,177,18,188
1356,71,7,82
1357,91,9,102
1358,561,56,572
1359,431,43,442
1360,91,9,102
1361,123,13,134
1362,81,8,92
1363,-3,0,8
1364,971,97,982
1365,497,50,508
1366,21,2,32
1367,571,57,582
1368,321,32,332
1369,251,25,262
1370,213,22,224
1371,386,39,397
1372,451,45,462
1373,197,20,208
1374,401,40,412
1375,9,1,20
1376,151,15,162
1377,232,23,243
1378,141,14,152
1379,151,15,162
1380,571,57,582
1381,355,36,366
1382,123,13,134
1383,251,25,262
1384,21,2,32
1385,51,5,62
1386,151,15,162
1387,311,31,322
1388,91,9,102
1389,631,63,642
1390,11,1,22
1391,178,18,189
1392,311,31,322
1393,261,26,272
1394,124,13,135
1395,21,2,32
1396,43,5,54
1397,-8,0,3
1398,27,3,38
1399,271,27,282
1400,11,1,22
1401,1,0,12
1402,11,1,22
1403,161,16,172
1404,251,25,262
1405,21,2,32
1406,46,5,57
1407,23,3,34
1408,9,1,20
1409,38,4,49
1410,120,12,131
1411,121,12,132
1412,120,12,131
1413,71,7,82
1414,26,3,37
1415,561,56,572
1416,411,41,422
1417,128,13,139
1418,41,4,52
1419,91,9,102
1420,121,12,132
1421,209,21,220
1422,91,9,102
1423,131,13,142
1424,18,2,29
1425,106,11,117
1426,81,8,92
1427,41,4,52
1428,81,8,92
1429,104,11,115
1430,241,24,252
1431,21,2,32
1432,123,13,134
1433,-5,0,6
1434,-3,0,8
1435,21,2,32
1436,4,1,15
1437,11,1,22
1438,31,3,42
1439,21,2,32
1440,112,11,123
1441,251,25,262
1442,231,23,242
1443,413,42,424
1444,47,5,58
1445,41,4,52
1446,3,1,14
1447,30,3,41
1448,56,6,67
1449,336,34,347
1450,461,46,472
1451,1,0,12
1452,11,1,22
1453,351,35,362
1454,71,7,82
1455,31,3,42
1456,31,3,42
1457,61,6,72
1458,1,0,12
1459,61,6,72
1460,71,7,82
1461,30,3,41
1462,301,30,312
1463,460,46,471
1464,421,42,432
1465,61,6,72
1466,211,21,222
1467,41,4,52
1468,159,16,170
1469,21,2,32
1470,22,2,33
1471,281,28,292
1472,69,7,80
1473,209,21,220
1474,51,5,62
1475,1,0,12
1476,101,10,112
1477,251,25,262
1478,371,37,382
1479,372,37,383
1480,411,41,422
1481,761,76,772
1482,1,0,12
1483,581,58,592
1484,201,20,212
1485,451,45,462
1486,-8,0,3
1487,821,82,832
1488,621,62,632
1489,119,12,130
1490,740,74,751
1491,11,1,22
1492,101,10,112
1493,450,45,461
1494,79,8,90
1495,38,4,49
1496,331,33,342
1497,209,21,220
1498,71,7,82
1499,161,16,172
1500,351,35,362
1501,311,31,322
1502,331,33,342
1503,461,46,472
1504,231,23,242
1505,111,11,122
1506,317,32,328
1507,167,17,178
1508,164,17,175
1509,31,3,42
1510,25,3,36
1511,12,1,23
1512,10,1,21
1513,41,4,52
1514,88,9,99
1515,94,10,105
1516,271,27,282
1517,371,37,382
1518,171,17,182
1519,1,0,12
1520,71,7,82
1521,390,39,401
1522,91,9,102
1523,41,4,52
1524,21,2,32
1525,275,28,286
1526,61,6,72
1527,16,2,27
1528,366,37,377
1529,41,4,52
1530,255,26,266
1531,121,12,132
1532,311,31,322
1533,541,54,552
1534,1,0,12
1535,141,14,152
1536,91,9,102
1537,31,3,42
1538,161,16,172
1539,371,37,382
1540,270,27,281
1541,1,0,12
1542,96,10,107
1543,291,29,302
1544,261,26,272
1545,131,13,142
1546,131,13,142
1547,594,60,605
1548,1,0,12
1549,28,3,39
1550,11,1,22
1551,341,34,352
1552,31,3,42
1553,21,2,32
1554,281,28,292
1555,81,8,92
1556,21,2,32
1557,130,13,141
1558,111,11,122
1559,151,15,162
1560,321,32,332
1561,21,2,32
1562,71,7,82
1563,131,13,142
1564,220,22,231
1565,71,7,82
1566,201,20,212
1567,155,16,166
1568,71,7,82
1569,201,20,212
1570,34,4,45
1571,131,13,142
1572,101,10,112
1573,20,2,31
1574,611,61,622
1575,311,31,322
1576,166,17,177
1577,9,1,20
1578,8,1,19
1579,171,17,182
1580,294,30,305
1581,11,1,22
1582,251,25,262
1583,165,17,176
1584,51,5,62
1585,21,2,32
1586,691,69,702
1587,61,6,72
1588,21,2,32
1589,191,19,202
1590,31,3,42
1591,31,3,42
1592,108,11,119
1593,121,12,132
1594,13,2,24
1595,91,9,102
1596,11,1,22
1597,26,3,37
1598,37,4,48
1599,45,5,56
1600,246,25,257
1601,45,5,56
1602,61,6,72
1603,91,9,102
1604,1,0,12
1605,93,10,104
1606,104,11,115
1607,222,22,233
1608,71,7,82
1609,281,28,292
1610,142,14,153
1611,21,2,32
1612,298,30,309
1613,151,15,162
1614,421,42,432
1615,46,5,57
1616,391,39,402
1617,271,27,282
1618,-8,0,3
1619,23,3,34
1620,237,24,248
1621,101,10,112
