,Rewards,Score,Episode_Length
1256,211,21,222
1257,1746,175,1757
1258,81,8,92
1259,46,5,57
1260,51,5,62
1261,53,6,64
1262,2272,227,2283
1263,41,4,52
1264,203,21,214
1265,3,1,14
1266,51,5,62
1267,61,6,72
1268,355,36,366
1269,146,15,157
1270,46,5,57
1271,91,9,102
1272,51,5,62
1273,563,57,574
1274,283,29,294
1275,71,7,82
1276,1,0,12
1277,263,27,274
1278,8,1,19
1279,806,81,817
1280,224,23,235
1281,89,9,100
1282,521,52,532
1283,441,44,452
1284,36,4,47
1285,61,6,72
1286,56,6,67
1287,666,67,677
1288,276,28,287
1289,248,25,259
1290,31,3,42
1291,1,0,12
1292,38,4,49
1293,101,10,112
1294,1,0,12
1295,151,15,162
1296,724,73,735
1297,651,65,662
1298,101,10,112
1299,91,9,102
1300,424,43,435
1301,974,98,985
1302,41,4,52
1303,321,32,332
1304,561,56,572
1305,187,19,198
1306,767,77,778
1307,77,8,88
1308,129,13,140
1309,1,0,12
1310,11,1,22
1311,11,1,22
1312,81,8,92
1313,311,31,322
1314,21,2,32
1315,101,10,112
1316,301,30,312
1317,5,1,16
1318,301,30,312
1319,211,21,222
1320,131,13,142
1321,21,2,32
1322,111,11,122
1323,41,4,52
1324,31,3,42
1325,21,2,32
1326,311,31,322
1327,5,1,16
1328,331,33,342
1329,81,8,92
1330,11,1,22
1331,1,0,12
1332,51,5,62
1333,427,43,438
1334,521,52,532
1335,551,55,562
1336,1,0,12
1337,966,97,977
1338,541,54,552
1339,96,10,107
1340,701,70,712
1341,865,87,876
1342,215,22,226
1343,-6,0,5
1344,342,34,353
1345,48,5,59
1346,61,6,72
1347,98,10,109
1348,65,7,76
1349,262,26,273
1350,72,7,83
1351,111,11,122
1352,159,16,170
1353,61,6,72
1354,90,9,101
1355,851,85,862
1356,178,18,189
1357,212,21,223
1358,341,34,352
1359,170,17,181
1360,83,9,94
1361,2,0,13
1362,271,27,282
1363,71,7,82
1364,11,1,22
1365,151,15,162
1366,266,27,277
1367,286,29,297
1368,13,2,24
1369,121,12,132
1370,441,44,452
1371,111,11,122
1372,117,12,128
1373,551,55,562
1374,1,0,12
1375,61,6,72
1376,11,1,22
1377,331,33,342
1378,71,7,82
1379,292,29,303
1380,961,96,972
1381,81,8,92
1382,0,0,11
1383,11,1,22
1384,721,72,732
1385,52,5,63
1386,92,9,103
1387,22,2,33
1388,226,23,237
1389,77,8,88
1390,221,22,232
1391,1,0,12
1392,758,76,769
1393,476,48,487
1394,171,17,182
1395,51,5,62
1396,101,10,112
1397,146,15,157
1398,746,75,757
1399,982,98,993
1400,32,3,43
1401,91,9,102
1402,61,6,72
1403,831,83,842
1404,78,8,89
1405,76,8,87
1406,606,61,617
1407,1102,110,1113
1408,215,22,226
1409,125,13,136
1410,2,0,13
1411,203,21,214
1412,12,1,23
1413,578,58,589
1414,474,48,485
1415,60,6,71
1416,771,77,782
1417,144,15,155
1418,1,0,12
1419,74,8,85
1420,144,15,155
1421,91,9,102
1422,271,27,282
1423,21,2,32
1424,1,0,12
1425,11,1,22
1426,1,0,12
1427,101,10,112
1428,21,2,32
1429,90,9,101
1430,31,3,42
1431,161,16,172
1432,61,6,72
1433,31,3,42
1434,106,11,117
1435,-4,0,7
1436,46,5,57
1437,5,1,16
1438,271,27,282
1439,91,9,102
1440,181,18,192
1441,31,3,42
1442,483,49,494
1443,263,27,274
1444,21,2,32
1445,183,19,194
1446,57,6,68
1447,91,9,102
1448,118,12,129
1449,361,36,372
1450,771,77,782
1451,371,37,382
1452,81,8,92
1453,131,13,142
1454,225,23,236
1455,118,12,129
1456,1111,111,1122
1457,1211,121,1222
1458,14,2,25
1459,11,1,22
1460,431,43,442
1461,191,19,202
1462,661,66,672
1463,207,21,218
1464,11,1,22
1465,235,24,246
1466,415,42,426
1467,278,28,289
1468,315,32,326
1469,245,25,256
1470,401,40,412
1471,71,7,82
1472,133,14,144
1473,381,38,392
